Invluokka,feaMed1,feaMed2,feaMed3,feaMed4,feaMed5,feaMed6,feaMed7,feaMed8,suoMod
104,36.0,114.0,234.0,134.0,105.0,85.0,0.0,1.0,0.0
104,39.0,108.0,234.0,137.0,107.0,83.0,0.0,1.0,0.0
104,38.0,112.0,235.0,137.0,107.0,88.0,0.0,1.0,0.0
104,39.0,106.0,236.0,147.0,107.0,82.0,0.0,3.0,0.0
263,47.0,133.0,243.0,134.0,154.0,105.0,0.0,21.0,0.0
104,45.0,91.5,239.0,152.0,113.0,49.0,0.0,1.0,0.0
262,49.0,99.0,244.0,145.0,136.0,84.0,0.0,8.0,0.0
261,46.0,108.0,243.0,142.0,136.0,89.0,0.0,11.0,0.0
271,50.0,88.0,235.0,154.0,122.0,78.0,0.0,3.0,0.0
242,54.0,143.0,243.0,130.0,157.0,146.0,0.0,23.0,0.0
430,2.0,146.0,241.0,135.0,111.0,194.0,0.0,1.0,0.0
430,1.0,146.0,242.0,135.0,86.0,186.0,0.0,1.0,0.0
430,2.0,144.0,240.0,134.0,83.0,191.5,0.0,1.0,0.0
241,35.0,106.0,243.0,151.0,124.5,105.0,1.0,7.0,0.0
241,37.0,112.0,243.0,150.0,134.0,115.0,0.0,12.0,0.0
241,36.0,107.0,243.0,151.0,131.0,109.0,0.0,18.0,0.0
241,38.0,106.0,241.0,146.0,127.0,111.0,1.0,10.0,0.0
232,34.5,107.0,241.5,147.0,127.0,108.0,0.0,6.5,0.0
241,34.0,108.0,243.0,150.0,129.0,106.0,0.0,9.0,0.0
241,35.0,108.0,243.0,154.0,120.0,99.0,0.0,11.0,0.0
263,49.0,113.5,245.0,135.0,151.5,134.0,0.0,19.0,1.0
251,45.0,160.0,244.0,135.0,171.0,165.0,73.0,26.0,0.0
104,15.0,136.5,241.0,133.0,121.5,116.5,0.0,1.0,0.0
241,48.5,124.5,244.0,131.5,151.5,137.5,0.0,18.0,0.0
104,42.5,107.0,235.5,145.0,111.5,130.5,0.0,12.0,0.0
241,42.0,119.0,244.0,135.0,141.0,121.0,0.0,12.5,0.0
241,47.0,108.0,243.0,138.0,137.0,121.0,0.0,9.0,0.0
241,42.0,121.0,242.0,135.5,144.0,124.0,0.0,16.0,0.0
261,43.0,108.0,242.0,139.0,130.0,115.0,0.0,5.0,0.0
261,44.0,109.0,242.0,138.0,130.0,115.0,0.0,5.0,0.0
241,45.5,106.0,243.5,140.0,133.0,116.0,0.0,8.5,0.0
232,47.0,104.0,243.0,140.0,132.0,117.0,0.0,9.0,0.0
241,45.0,125.0,244.0,132.0,147.0,129.0,0.0,10.0,0.0
271,44.0,112.0,241.0,135.0,135.0,126.5,0.0,5.5,0.0
232,43.5,110.0,243.0,135.0,134.0,117.5,0.0,8.0,0.0
271,52.0,119.0,243.0,136.0,140.0,126.0,0.0,15.0,0.0
263,61.0,133.0,242.0,138.0,156.0,142.0,0.0,26.0,0.0
262,48.0,145.0,241.0,140.0,161.0,146.0,0.0,34.0,0.0
262,62.0,129.0,241.0,135.0,151.0,140.0,0.0,15.0,0.0
104,46.0,102.0,233.0,144.0,116.0,130.0,0.0,7.0,0.0
261,41.0,103.0,240.0,148.0,121.0,110.0,0.0,2.0,0.0
261,47.0,105.0,239.0,141.0,123.0,117.0,0.0,14.0,0.0
261,52.0,116.5,242.0,134.0,141.0,125.0,0.0,8.0,0.0
261,51.0,113.5,242.0,133.5,138.0,123.0,0.0,15.0,0.0
261,50.0,114.0,242.0,133.0,137.0,126.0,0.0,6.0,0.0
104,39.0,111.0,240.0,139.0,128.0,102.0,0.0,1.0,0.0
261,49.0,111.0,242.0,134.0,135.0,120.0,0.0,8.0,0.0
261,51.0,109.0,241.0,134.0,136.0,118.0,0.0,3.0,0.0
261,49.0,105.0,242.0,138.0,135.5,118.0,0.0,7.5,0.0
241,49.0,115.0,242.0,135.0,137.0,120.0,0.0,6.0,0.0
261,50.0,118.0,242.0,132.0,139.0,96.0,0.0,15.0,0.0
261,53.0,113.0,243.0,130.5,142.0,96.0,0.0,17.0,0.0
104,47.0,97.0,237.0,143.0,121.0,86.0,0.0,4.0,0.0
271,43.0,112.0,238.0,139.0,123.0,88.0,0.0,3.0,0.0
101,35.0,111.0,238.0,141.0,117.0,113.0,2.0,11.0,0.0
241,41.0,118.0,243.0,134.0,138.0,126.0,0.0,14.0,0.0
241,42.0,117.0,242.0,133.0,139.0,127.0,0.0,14.5,0.0
241,45.0,104.5,243.0,142.0,133.5,118.0,0.0,14.5,0.0
241,43.5,128.0,245.0,131.5,152.0,138.0,0.0,19.0,0.0
241,50.0,119.0,242.0,136.0,142.0,130.0,0.0,8.0,0.0
241,48.0,135.0,242.0,134.0,147.0,139.0,0.0,13.0,0.0
241,43.0,133.0,245.0,128.0,149.0,148.0,0.0,6.0,0.0
104,48.0,101.0,223.0,133.0,107.0,53.0,10.0,1.0,0.0
104,107.0,142.0,125.0,107.5,106.0,75.0,8.5,1.0,0.0
104,38.0,99.0,237.0,140.0,106.0,50.0,0.0,1.0,0.0
104,41.0,92.0,239.0,153.0,109.0,47.0,4.0,1.0,0.0
104,38.0,94.0,242.0,155.0,114.0,47.0,0.0,1.0,0.0
104,38.0,105.0,236.0,146.0,109.0,78.0,0.0,1.0,0.0
104,38.0,114.0,232.0,134.0,105.0,86.0,0.0,1.0,0.0
104,39.0,109.0,234.0,138.5,108.0,84.5,0.0,1.0,0.0
104,40.0,107.0,235.0,142.0,107.0,84.0,0.0,1.0,0.0
104,40.0,107.0,235.0,142.0,109.0,85.0,0.0,1.0,0.0
104,41.0,108.0,237.0,141.0,116.0,83.0,0.0,1.0,0.0
104,43.0,93.0,234.0,153.0,108.0,73.0,0.0,4.0,0.0
263,44.0,107.0,242.0,145.0,135.0,87.0,0.0,15.0,0.0
263,42.5,107.5,241.0,147.5,131.0,86.0,0.0,15.0,0.0
262,48.0,130.5,243.0,139.5,159.0,103.5,0.0,27.0,0.0
262,44.0,124.0,246.0,132.0,154.0,132.0,0.0,23.0,0.0
262,51.0,136.0,243.0,132.0,159.0,137.0,0.0,30.0,0.0
262,53.0,123.0,244.0,131.0,152.0,132.0,0.0,18.0,0.0
263,49.0,122.0,245.0,135.0,150.0,129.0,0.0,17.0,0.0
232,45.5,104.0,244.0,144.0,137.5,119.5,0.0,25.0,0.0
104,41.0,87.0,240.0,157.0,110.0,94.0,0.0,3.0,0.0
241,46.0,132.0,244.0,137.0,155.0,141.0,0.0,18.0,0.0
241,43.0,113.0,242.0,142.0,132.0,114.0,0.0,8.0,0.0
104,40.0,94.0,240.0,156.0,118.0,103.0,0.0,11.0,0.0
